FIPS code;GeoName;State;2001 Personal income (thousands of dollars) ;2002 Personal income (thousands of dollars) ;2003 Personal income (thousands of dollars) ;2004 Personal income (thousands of dollars) ;2005 Personal income (thousands of dollars) ;2006 Personal income (thousands of dollars) ;2007 Personal income (thousands of dollars) ;2008 Personal income (thousands of dollars) ;2009 Personal income (thousands of dollars) ;2010 Personal income (thousands of dollars) ;2011 Personal income (thousands of dollars) ;2012 Personal income (thousands of dollars) ;2013 Personal income (thousands of dollars) ;2014 Personal income (thousands of dollars) ;2015 Personal income (thousands of dollars) ;2016 Personal income (thousands of dollars) ;2017 Personal income (thousands of dollars) ;2018 Personal income (thousands of dollars) ;2019 Personal income (thousands of dollars) ;2020 Personal income (thousands of dollars) ;2021 Personal income (thousands of dollars) ;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/
1061;Geneva County;Alabama;560160;569095;593044;613971;655993;661064;702867;737909;751366;775692;786438;791553;819596;829794;874263;871848;894086;911815;960282;1017177;1109934;25565;25580;25702;25772;25988;26271;26322;26646;26653;26785;26793;26993;26780;26724;26792;26670;26603;26521;26561;26675;26701;25565;25580;25702;25772;25988;26271;26322;26646;26653;26785;26793;26993;26780;26724;26792;26670;26603;26521;26561;26675;26701
1063;Greene County;Alabama;183090;188276;199613;213472;228537;238529;246034;247742;247078;239341;244025;242538;264652;244385;257678;260021;257021;252207;261221;283902;308674;9866;9893;9805;9686;9675;9361;9385;9359;9182;8982;8865;8780;8650;8459;8355;8302;8104;7979;7846;7704;7629;9866;9893;9805;9686;9675;9361;9385;9359;9182;8982;8865;8780;8650;8459;8355;8302;8104;7979;7846;7704;7629
1065;Hale County;Alabama;309554;324181;351705;371203;390500;419500;433410;456378;456588;455155;463813;473576;487557;479973;510561;514844;520277;525304;556267;601050;650426;17868;17376;17116;16765;16622;16427;16418;16260;16025;15748;15378;15397;15293;15104;15086;14927;14906;14880;14787;14792;14754;17868;17376;17116;16765;16622;16427;16418;16260;16025;15748;15378;15397;15293;15104;15086;14927;14906;14880;14787;14792;14754
1067;Henry County;Alabama;349660;368524;382603;397996;439210;454184;490519;522818;521402;534884;564912;572556;602879;616035;649174;667944;694381;717203;762967;798574;893614;16358;16447;16563;16692;16752;16953;17108;17129;17243;17293;17372;17144;17115;17057;17076;17036;17074;17064;17085;17167;17459;16358;16447;16563;16692;16752;16953;17108;17129;17243;17293;17372;17144;17115;17057;17076;17036;17074;17064;17085;17167;17459
1069;Houston County;Alabama;2400622;2477788;2560723;2792006;2972038;3212149;3409223;3449648;3410063;3618185;3763514;3817156;3821999;3935113;4075947;4154137;4273946;4464591;4728062;5107427;5477775;89490;89940;91321;92593;93903;95846;97727;99183;100500;101817;102593;103562;103909;104500;104674;104766;104947;105482;106848;107190;107458;89490;89940;91321;92593;93903;95846;97727;99183;100500;101817;102593;103562;103909;104500;104674;104766;104947;105482;106848;107190;107458
1071;Jackson County;Alabama;1197259;1198658;1260141;1343497;1412357;1462649;1530183;1587256;1535269;1575965;1623234;1659256;1711101;1743345;1780085;1801401;1837669;1891981;1953703;2083128;2299033;53997;53758;53711;53525;53332;53483;53333;53525;53461;53231;53364;53328;53304;53005;52735;52657;52556;52431;52547;52519;52773;53997;53758;53711;53525;53332;53483;53333;53525;53461;53231;53364;53328;53304;53005;52735;52657;52556;52431;52547;52519;52773
1073;Jefferson County;Alabama;20790249;21411862;22230777;23817833;24898967;26497133;27188187;27890833;26551895;27785861;28651383;30079400;29740013;30885037;32393205;32858076;34594133;36036406;37171635;39089658;41652714;660197;657518;657513;656023;654919;655893;655163;656510;658441;658682;660433;662251;665314;667877;670222;671814;672991;674571;675214;673341;667820;660197;657518;657513;656023;654919;655893;655163;656510;658441;658682;660433;662251;665314;667877;670222;671814;672991;674571;675214;673341;667820
1075;Lamar County;Alabama;315078;314349;317837;320247;337864;343978;366543;374593;369932;387369;401698;417070;417907;423516;436791;443106;447949;457955;477823;512229;549117;15632;15446;15258;15075;15009;14816;14901;14799;14689;14501;14317;14293;14276;14152;14029;14042;14019;14030;13987;13943;13689;15632;15446;15258;15075;15009;14816;14901;14799;14689;14501;14317;14293;14276;14152;14029;14042;14019;14030;13987;13943;13689
1077;Lauderdale County;Alabama;2053565;2064768;2144697;2290028;2433506;2565655;2717451;2777325;2740088;2886610;2963517;3019859;3023380;3160777;3232939;3261164;3295955;3399425;3608874;3910865;4213512;87791;87627;88103;88732;89358;90294;91107;92202;92526;92747;92656;92760;92841;93182;92685;92709;92917;92975;93298;93610;94043;87791;87627;88103;88732;89358;90294;91107;92202;92526;92747;92656;92760;92841;93182;92685;92709;92917;92975;93298;93610;94043
1079;Lawrence County;Alabama;721316;705870;752958;808463;830829;851872;917609;948152;936834;952386;965861;992987;1050851;1072937;1059496;1034886;1074741;1115661;1178195;1263830;1422743;34870;34698;34488;34318;34435;34028;34293;34196;34315;34320;34056;33835;33630;33522;33236;33338;33197;33089;33055;33063;33090;34870;34698;34488;34318;34435;34028;34293;34196;34315;34320;34056;33835;33630;33522;33236;33338;33197;33089;33055;33063;33090
1081;Lee County;Alabama;2492079;2619814;2806043;3074824;3291119;3545170;3777164;4056164;4047307;4238735;4493791;4815002;4898132;5197077;5481025;5746170;6003899;6256187;6770191;7291278;7975201;116819;118392;120071;122274;126133;129247;131934;134524;138566;140975;145014;150195;154196;157684;160934;164008;167184;170423;172030;174601;177218;116819;118392;120071;122274;126133;129247;131934;134524;138566;140975;145014;150195;154196;157684;160934;164008;167184;170423;172030;174601;177218
1083;Limestone County;Alabama;1540836;1586165;1739817;1815373;1968785;2162620;2348630;2607836;2675602;2843998;3067791;3208234;3283693;3385050;3525294;3686780;3906607;4177085;4512896;4944532;5410870;66936;67677;68578;69593;71303;73651;76063;78835;81326;83211;85776;87745;89531;91419;92590;94095;95551;97834;101023;104322;107517;66936;67677;68578;69593;71303;73651;76063;78835;81326;83211;85776;87745;89531;91419;92590;94095;95551;97834;101023;104322;107517
1085;Lowndes County;Alabama;256266;252924;265427;293466;301253;309067;334304;339159;339436;349211;345495;364316;377927;382940;392219;380659;393902;394387;415869;446866;486810;13329;13231;12996;12623;12397;12124;11973;11813;11486;11312;11235;11017;10894;10791;10709;10670;10586;10517;10327;10297;9965;13329;13231;12996;12623;12397;12124;11973;11813;11486;11312;11235;11017;10894;10791;10709;10670;10586;10517;10327;10297;9965
1087;Macon County;Alabama;401711;405471;421320;453131;466607;486417;502640;523959;537385;549913;558450;551779;552934;561495;572822;585319;587079;591810;617877;679483;725791;23925;23563;23110;22685;22388;22227;21942;21597;21190;21560;21523;21017;20594;20380;20195;20097;20000;19622;19510;19476;18895;23925;23563;23110;22685;22388;22227;21942;21597;21190;21560;21523;21017;20594;20380;20195;20097;20000;19622;19510;19476;18895
1089;Madison County;Alabama;8501894;8801374;9297707;10003408;10768817;11619912;12470478;13350313;13419342;14129700;14867386;15257300;15370560;15916853;16660888;17271636;17979694;18988132;20297750;22017542;23654316;281517;286439;291342;295655;301474;309170;315859;323526;330856;336341;340769;344908;349805;353983;358191;362995;369127;375545;381823;389696;395211;281517;286439;291342;295655;301474;309170;315859;323526;330856;336341;340769;344908;349805;353983;358191;362995;369127;375545;381823;389696;395211
1091;Marengo County;Alabama;487022;499624;504385;548501;580463;609286;622083;631036;616453;640122;655036;670152;674100;693254;707557;709876;716577;747829;764765;839841;892970;22203;22217;22025;21777;21569;21531;21475;21331;21170;20970;20736;20507;20308;20230;20065;19881;19809;19537;19413;19264;18996;22203;22217;22025;21777;21569;21531;21475;21331;21170;20970;20736;20507;20308;20230;20065;19881;19809;19537;19413;19264;18996
1093;Marion County;Alabama;581652;594740;611037;673464;722408;733922;772696;781665;766089;791723;796895;834010;845216;885024;917338;912905;944857;963810;993382;1081488;1197314;30777;30608;30554;30516;30494;30779;30849;30918;30646;30812;30612;30408;30110;30050;29932;29714;29544;29456;29465;29287;29246;30777;30608;30554;30516;30494;30779;30849;30918;30646;30812;30612;30408;30110;30050;29932;29714;29544;29456;29465;29287;29246
1095;Marshall County;Alabama;1925624;1947952;2063464;2192680;2307096;2395290;2533858;2629044;2678261;2774800;2797651;2930834;2962944;3062227;3265469;3235236;3334747;3457882;3682125;3970284;4362865;82477;83417;84348;85131;86516;88209;89605;91072;92213;93136;93984;94416;94575;94544;94935;95535;96066;96774;97362;97608;98228;82477;83417;84348;85131;86516;88209;89605;91072;92213;93136;93984;94416;94575;94544;94935;95535;96066;96774;97362;97608;98228
